domain,ok,n_pages,chars,reason
grameencarso.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
grameendelafrontera.org.mx,1,1,594,
granerosdelnorte.com,1,1,1873,
gratiamcapitale.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
greenlinemx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
greyoak.mx,1,1,3203,
growing.com.mx,1,5,18095,
grupoabifinanciera.com,1,1,1482,
grupoalamos.com,1,5,32737,
grupobafar.com,1,1,8528,
grupocapem.com,1,6,52518,
grupocolorines.mx,1,5,71092,
grupodiam.com,1,5,35886,
grupofinfersa.com,1,5,34487,
grupogartelo.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
grupojafel.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
grupolendmex.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
grupolipsi.com,1,2,19308,
grupoloscar.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
grupolunma.com,1,4,44486,
grupomdqr.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
grupomsqr.com,1,5,29977,
grupopaquime.com.mx,1,1,10253,
grupopedex.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
gruposacsa.com.mx,1,5,27066,
gruposades.com,1,6,33409,
gruposisfin.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
gruposyma.mx,1,5,23278,
grupoxpress.com,1,1,7562,
guaita.cc,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
gueldinternacional.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
gueltsofom.com,1,5,21317,
gueralva.com,1,5,23788,
gzcapital.com.mx,1,4,14494,
habitussocial.com,1,5,20878,
hacercapital.com,1,1,6101,
handacapital.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hcreamas.mx,1,1,5037,
hda-soluciones.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hdm1975.mx,1,1,3169,
hfinancierossofom.com,1,4,10077,
hikufi.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
himalia.mx,1,5,31111,
hipotecariafimex.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hipotecariahogar.com,1,5,61312,
hirpyme.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hirsoluciones.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hkventuresofom.com,1,5,21425,
hmreit.com,1,5,40357,
holafintech.com,1,1,3819,
horusildumos.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hoyporti.mx,1,1,1606,
hrh2022.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hsbkauli.com,1,3,7219,
hubness-sa.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hunvital.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
hwc.com.mx,1,1,17746,
icmdevelopers.com,1,2,3634,
ideasytecnologia.mx,1,5,19711,
idfinanciero.com,1,2,13455,
idisruption.mx,1,1,8682,
idisruptionlatam1.com.mx,1,1,5377,
idisruptionlatam2.com.mx,1,5,30264,
ifgsoluciones.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ifinan.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ifincapital.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ileasing.mx,1,3,23299,
imcodelbajio.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
impactoasg.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
imparablesofom.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
impes.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
impetunegocios.com,1,2,11383,
impulsamex.mx,1,5,16776,
impulsandovalor.com,1,6,37025,
impulsarte.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
impulsasofom.com,1,1,16282,
impulsatuganancia.com,1,1,5339,
impulso-mas.com,1,6,31425,
impulsocreativosofom.com.mx,1,3,9995,
impulsoea.com.mx,1,5,45158,
impulsofinanciero.com.mx,1,5,29402,
impulsoproexpansion.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
impulsora-pad.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
impulsorafinanciera.com,1,5,54435,
impulsoraprodeco.com,1,4,23477,
impulsoregional.com,1,5,10488,
impulsoyprosperidad.com,1,4,10834,
in-credit.com.mx,1,5,41125,
inclusionhipotecaria.com,1,5,40155,
increc.com,1,1,605,
incrementandotupatriminio.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
incrementopolo.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
increscendomexico.com,1,5,39388,
indentro.com,1,5,37592,
indeprom.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
infratek.mx,1,2,18410,
iniciativacomosi.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
inmediprest.com.mx,1,1,8820,
innovacartera.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
innovacionliquidez.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
innovacredit.com,1,2,9736,
innovateursofom.com.mx,1,1,5410,
inspiranegocios.com,1,5,21150,
integra-arrenda.com,1,5,123295,
integridadfinanciera.com,1,1,6729,
intercambiosbajasur.com,1,5,40438,
intermediariaragalo.com,1,4,23846,
intermercado.mx,1,5,54320,
intersom.online,1,5,28308,
inventafinance.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
inventafinancial.mx,1,1,16174,
invex.com,1,1,14396,
inyecta.com.mx,1,5,43932,
ion.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ipcfinanciera.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
iqwb.mx,1,2,21679,
isacapsolutions.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
jasafi.com,1,2,5482,
javer.com.mx,1,4,135702,
jdcmsofom.com.mx,1,1,15463,
jjbeyond.com,1,1,6329,
jovacapital.com,1,6,41970,
joylend.mx,1,3,18918,
junomxcapital.com,1,1,2673,
juntosfinanciera.mx,1,6,96396,
justoalamedida.com,1,1,25737,
kailashfinanciera.com.mx,1,6,39327,
kaitzsofom.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
kampala.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
kandeofund.com,1,5,31193,
kanfinanciera.com.mx,1,2,28123,
kapitalfinanciera.com,1,4,11926,
kapitalflex.mx,1,4,39925,
kapitaliza.mx,1,2,14269,
kapitalizer.mx,1,1,9855,
karilocredit.com,1,1,9442,
karyworld.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
kcmalliancegroup.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
keoworld.com,1,1,9946,
ketterafs.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
kinesiscatalitica.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
kippon.mx,1,1,3397,
kishon.com.mx,1,3,12682,
kodyfns.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
kolibriverde.mx,1,1,3792,
komatsu.com,1,6,99040,
komonii.mx,1,5,25867,
kondinero.com,1,5,26482,
konektamex.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
konfio.mx,1,2,31586,
konkefin.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
korumcapital.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
kotinos.mx,1,1,4892,
kredfeed.com,1,5,45640,
kredi.mx,1,3,5885,
krediqro.com,1,4,35170,
kronosfin.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
krp.mx,1,6,78587,
kscredit.com.mx,1,1,3806,
kualinet.com,1,2,39142,
kueski.com,1,4,110131,
kvellchi.com.mx,1,5,35854,
laabundanciaenti.com,1,5,29900,
laadsa.com,1,4,21992,
lafin.mx,1,1,17169,
lanadigital.mx,1,5,109532,
lanahora.com,1,1,4048,
lanamovil.net,1,5,62055,
latincreasofom.com,1,6,10966,
laudex.mx,1,4,57507,
lbbw.de,1,2,149771,
lcliquidezcorporativa.com.mx,1,1,19452,
leasenowmx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
leasingtim.mx,1,1,5676,
leasy.com.mx,1,1,8406,
lefimc.com,1,2,14029,
legacyinversiones.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
legadocuauhtemoc.com.mx,1,5,18237,
lemadcapital.com,1,1,3307,
lemonademex.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
lendo.com.mx,1,5,22915,
lepezo.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
letgoempresarialmx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
lexintel.mx,1,3,12496,
liberacre.com,1,5,67781,
lif.com.mx,1,1,9065,
lima-yedi.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
lime24.mx,1,2,10944,
lion-ward.com,1,5,34298,
liquick.com.mx,1,1,14291,
liquidex.com.mx,1,5,46359,
liquidezexpress.com,1,4,38673,
liquideztotal-sa.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
livra.mx,1,3,12109,
llatyventures.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
lografinanciamientos.com,1,1,3416,
lograycrece.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
lown.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
lukasekiz.com,1,1,314,
lumofinancieradelcentro.com,1,2,13099,
lurok.mx,1,5,30143,
maedelgolfo.com.mx,1,2,74868,
magnocreditointegral.com.mx,1,4,138813,
mak3celular.com,1,3,60733,
maosafinancial.com.mx,1,1,15147,
maremifacilidades.com,1,2,9323,
maskapital.mx,1,5,148451,
masnomina.com.mx,1,1,13310,
mastercash.com.mx,1,5,10922,
masxmenos.mx,1,1,728,
mattilda.io,1,5,156339,
maxcapitalmex.com,1,6,50373,
maxiconfianza.com.mx,1,1,184,
maxicredito.mx,1,1,176,
maxivale.mx,1,1,2264,
maydef.mx,1,5,13908,
mbcopeninsular.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
mediadoraprp.com,1,1,6248,
meiica.com,1,5,32119,
mendel.com,1,6,119147,
merama.io,1,5,52511,
mercader.mx,1,5,70800,
metacapfinanciera.com,1,4,23340,
metafinanciera.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
metapatrimonio.com,1,1,10529,
metrocapital.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
metrofinanciera.com.mx,1,2,44554,
mexcapital.com.mx,1,4,11005,
mexdin.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
mexfin.com.mx,1,1,8905,
mexsof.com,1,1,4704,
mhmcapital.mx,1,3,17086,
microcredit.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
microssur.com.mx,1,4,10915,
midemi.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
midinerito.mx,1,2,9017,
mifel.com.mx,1,3,41456,
miosolutions.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
mipymex.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
miqueas.com.mx,1,4,17126,
mirafinanciera.com,1,5,22103,
mizrafin.com,1,3,34079,
mmfinanciera.com,1,5,21563,
mnjcapital.com.mx,1,1,381,
mon.com.mx,1,4,38417,
monato.com,1,4,54977,
moneygiver.xyz,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
moneyman.com.mx,1,1,18167,
montocredi.com,1,2,14828,
moskalti.com,1,1,2318,
moychimallimx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
mpfinancialcapital.com,1,2,7943,
mreit.mx,1,2,12334,
mrpresta.com,1,5,39975,
msffinanciera.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
multi-capital.com.mx,1,5,24982,
multiplicandoxbien.com,1,5,49870,
mvscsolutions.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
mx-sunpor.com,1,1,3691,
myo.mx,1,1,14736,
nadbank.org,1,6,76772,
naica.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
navepol.webnode.page,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ndmsofom.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
negocios-financieros.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
negociosatualcance.com.mx,1,1,8012,
negociosdeipanema.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
newlife.com.mx,1,5,12258,
newportfinancial.mx,1,5,90887,
nextfin.com.mx,1,5,20230,
nietofin.com.mx,1,3,21887,
nirika.com.mx,1,1,433,
niubbesofom.com,1,5,21385,
nolanmx.com,1,1,11618,
nomi-fin.com,1,3,12232,
nominom.com.mx,1,2,48621,
norhol.com.mx,1,6,47697,
noriat.com,1,2,10032,
novasqone.com,1,4,31913,
nowports.com,1,2,24401,
nucleopotencias.mx,1,2,9829,
nuestroapoyo.com,1,1,6450,
nyp.com.mx,1,2,14923,
nyxus.mx,1,1,16079,
octopus-balloon.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
oktogonter.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
olimposofom.com,1,5,12148,
olsoncapital.com.mx,1,5,24928,
olufin.com,1,2,9928,
omakool.com.mx,1,2,20884,
omtfinancial.com.mx,1,5,6431,
onixfinanciera.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
opcionatumedida.com.mx,1,2,3387,
opcionefectiva.com,1,1,2797,
opcionessacimex.com,1,2,14068,
opcipres.com.mx,1,4,15618,
opcr.mx,1,2,12409,
operacionesasc.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
operadoraemisare.com.mx,1,1,3810,
operadoraprespen.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
operadoraprocea.com,1,2,11962,
oporfin.mx,1,2,13190,
oportunidadtupatrimonio.com.mx,1,5,37921,
oportunifyloan.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
opportunity.com.mx,1,5,25433,
optimalempire.mx,1,4,26155,
optsistemas.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
oquetza.com,1,4,37904,
organizacionsoriana.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
osamel.com,1,2,6130,
pacada.com.mx,1,5,22973,
palinkasofom.com,1,2,11854,
palmlending.com.mx,1,5,28103,
paracrecer.mx,1,6,25169,
paratodocredito.com,1,1,441,
pasefi.mx,1,5,26230,
patmil.com.mx,1,2,12201,
patrimonio.com.mx,1,1,7593,
patrimonioysolidez.com.mx,1,5,14501,
paya.com.mx,1,2,6752,
payjoy.com,1,4,46148,
pbcnasofom.com,1,5,37733,
pbf.uno,1,5,24930,
pchcapital.mx,1,1,9362,
pdn1.com.mx,1,5,29524,
pensionesymas.com,1,3,13209,
pesoapeso.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
petramare.com.mx,1,5,12689,
petrolending.com.mx,1,5,12707,
pfesa.com.mx,1,5,12169,
pidamas.com,1,1,26376,
pimx.com.mx,1,5,34635,
pintostrading.com.mx,1,5,19843,
pistmx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
piticcapital.com.mx,1,6,58796,
plaincapital.mx,1,2,11017,
plancredi.com,1,5,16164,
plus.com.mx,1,1,6983,
podemos.mx,1,2,12829,
polymathv.com,1,1,7919,
potenciafinanciera.mx,1,5,29729,
pre15na.com.mx,1,1,11648,
prediama.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
preferencecapital.me,1,6,53328,
premierestrategia.com,1,2,5474,
premolti.mx,1,5,43045,
prestabit.com.mx,1,2,4973,
prestacionessure.com,1,3,18011,
prestamaz.mx,1,1,8453,
prestamomarket.com,1,1,19942,
prestamosexpeditos.com.mx,1,5,28625,
prestamosyes.com,1,4,58322,
prestasimple.mx,1,1,6929,
prestatux.com.mx,1,3,16981,
prestiquick.com.mx,1,2,7212,
prestoclaro.com,1,5,78954,
prestomaticgdl.com,1,1,9474,
prestua.com,1,1,3919,
pretmex.com,1,5,37587,
prevol.com.mx,1,5,40632,
pricingklug.com.mx,1,1,7134,
principiafuturo.com.mx,1,3,75076,
privesasofom.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
proaktiva.com.mx,1,4,31975,
procredito.mx,1,6,99798,
profesionalesdebanderilla.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
profia.mx,1,5,14591,
profimex.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
profitup.mx,1,4,23267,
prolevercapital.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
prologis.mx,1,6,197689,
promocash.org,1,6,27390,
promotoraprofile.com,1,2,8079,
promoviendotufuturo.com,1,5,21334,
promujer.mx,1,1,10881,
propelkap.com,1,5,22044,
prorsum.com.mx,1,4,48272,
prosef.mx,1,2,20162,
prospera-pluskptl.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
prosperemos.com.mx,1,1,5463,
prosperidadatualcance.com,1,1,14632,
prosperus.mx,1,2,6629,
prosumacapital.com,1,4,17636,
proteccionquo3.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
proveloz.com,1,2,28445,
proyeccion.com.mx,1,5,24043,
proyectasinfronteras.com,1,2,6677,
puntocima.mx,1,5,20862,
puntocla-b.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
qcapital.mx,1,2,19286,
qcsolucionesfinancieras.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
qfsfinanciera.com,1,5,20608,
qredio.com,1,6,67131,
quaestumsofom.com,1,5,10454,
quantiaindustrial.com,1,4,18564,
quanticcapital.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
quantum-lion.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
quarkintl.mx,1,2,3927,
quickcap.com.mx,1,6,57039,
quierobillete.com.mx,1,4,37724,
quieroganar.mx,1,1,2921,
raisefinancial.mx,1,1,13146,
rapiditomexlg.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
rasesu.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
rayitomoney.com,1,1,26599,
rdacapital.com,1,4,6291,
reale.mx,1,1,2002,
redde.mx,1,2,14305,
redfortalecimientoempresarial.com,1,4,27526,
redhezpromads.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
redpoll.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
refacil.com.mx,1,2,16291,
regi-world.com,1,1,8924,
regiocapitalmx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
regiocash.com.mx,1,1,9382,
registrodeenvasesofom.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
renacesdiaadia.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
rendiagilmx.com,1,4,51823,
rendisof.com,1,5,5924,
rentamigo.mx,1,3,34746,
repucot.com.mx,1,1,110,
rexfinancial.mx,1,2,2927,
rfinsofom.com.mx,1,1,5633,
rgcapital.com.mx,1,5,19650,
robsancreandovalor.com,1,5,25067,
rodalatam.mx,1,5,26617,
roshfin.com,1,2,17975,
royalpocket.com,1,5,23899,
rpardo.com.mx,1,5,33522,
rpsofom.com,1,1,5177,
rsfinancieros.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
rumhinriki.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sabupen.webnode.mx,1,3,6046,
sacogo.com.mx,1,5,33035,
sade.mx,1,4,44588,
saharacapital.com.mx,1,1,13927,
saharafinancemx.com,1,3,61800,
saison-international.com,1,1,98,
saldoamigo.com,1,2,29064,
saletaazteca.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
santander.com.mx,1,6,67543,
saveprestamos.com.mx,1,1,15673,
scania.com,1,6,271644,
sda-tapoya.mx,1,2,6757,
seamossocios.com.mx,1,4,25480,
sectoresprimarios.com.mx,1,3,12101,
sedueno.com.mx,1,4,60443,
seed.mx,1,5,36261,
sefiamexico.com,1,6,127159,
sefifinanciera.com,1,4,41818,
sefinom.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sefipade.mx,1,1,496,
sejurefid.com,1,1,6028,
selefectivo.com.mx,1,5,23726,
sembrador.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sentaurusmayab.com,1,6,27266,
serathfinanzas.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sereniacredit.com,1,2,15174,
serfi.com.mx,1,5,31279,
serfimexcapital.com.mx,1,1,11292,
serviciosagromex.com.mx,1,1,12128,
serviciosfinmx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
serviciosgogan.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sesf.com.mx,1,3,6791,
sfgdgo.com,1,2,21211,
sfisofom.com.mx,1,4,39584,
sfk.com.mx,1,4,20545,
sialia.mx,1,3,8700,
sicacredit.com.mx,1,2,10111,
siconfiamos.com.mx,1,5,15094,
sicuento.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sidegan.com,1,2,36542,
sidert.com.mx,1,5,33467,
siemens.com,1,1,45467,
siempreefectivo.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sifactor.com,1,5,68363,
sifinanciera.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
signogroup.mx,1,1,41026,
silverfc.mx,1,1,3881,
simpli.mx,1,5,28677,
sinaloapositivo.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sinapsis-rural.com,1,1,4683,
sinergiafinanciera.com.mx,1,4,17585,
sinergiafinancieraalev.com,1,5,27614,
sinergiaflg.com.mx,1,5,35302,
sisacoa.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sisufinanciera.com,1,1,3857,
sitespay.mx,1,1,7635,
sitiansocios.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sixel.app,1,6,22982,
siyafinanciera.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sjt.com.mx,1,3,15115,
slana.mx,1,5,51833,
sltsservicios.com,1,5,31551,
smartgain.mx,1,1,10540,
smbcgroup.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
smuga.com.mx,1,5,16989,
sociedadfinancieraalpura.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sociosedarf.com,1,5,22738,
sociosedfessa.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sodacapital.mx,1,2,23959,
sofagro.com.mx,1,5,44403,
sofimas.com,1,1,10151,
sofipa.org.mx,1,5,68376,
sofipaz.com,1,3,15830,
sofir.com.mx,1,6,24553,
sofnex.com.mx,1,2,15175,
sofom.inbursa.com,1,4,30753,
sofomanec.com.mx,1,1,11904,
sofomcomunitaria.com,1,1,3959,
sofomgry.com,1,2,11038,
sofomsoluciones.com.mx,1,3,29218,
sofortaleza.com,1,5,44664,
soldicapital.com.mx,1,1,317,
solfin.mx,1,1,2624,
solidcash.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
solidezgfa.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
solpay-sofom.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
soluciones-financieras.com.mx,1,2,17351,
solucionescocrea.mx,1,6,88556,
solucionesintegralescalcoleg.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
solucioneska.com.mx,1,5,60069,
solucionesmultiples.com.mx,1,2,9823,
solucionesoportunas.com.mx,1,4,34015,
solucrea.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
solufex.com.mx,1,5,42583,
solugob.com.mx,1,5,16662,
solvantia.com,1,1,30656,
solve.com.mx,1,1,5945,
solvefinanciera.com,1,2,22175,
solvenciacapital.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
solvendom.com,1,6,94579,
solvento.ai,1,3,54817,
solvimas.com,1,2,47469,
somostusoporte.com,1,1,2529,
sophomon.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
soporteimpulsa.com,1,4,23703,
sotiderc.com,1,2,11717,
spdynamicmx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
spenda-sapi.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sphfinanciera.com,1,3,18418,
splitvalue-sa.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ssfinanciera.com,1,1,5207,
startbanregio.com,1,1,4840,
steelfactoring.com,1,2,11059,
stellantisfinancial.mx,1,5,83730,
stilakrediya.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
sufinc.mx,1,1,7389,
sufirma.com.mx,1,3,12773,
sumaexpress.com.mx,1,1,5793,
sumafin.com,1,1,368,
suneco.mx,1,6,22692,
suneconomia.com,1,4,53418,
sunemcapital.com,1,4,21204,
superaprestamos.com.mx,1,2,34446,
superavitfin.com,1,4,35153,
sustentableryr.com,1,1,12423,
swell.mx,1,1,4231,
swipesa-sa.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
takedefimx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
talamobile.mx,1,6,98429,
talipotcapital.com,1,1,8681,
tamogisofom.com,1,1,9129,
tanewisofom.com,1,5,20752,
taveron.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tcumplimos.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tecnimr.com,1,4,14180,
tedamoslana.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
templecapital.com.mx,1,1,8435,
tenmas.com.mx,1,6,57498,
terespaldamos.com,1,4,33429,
thain-credit.com,1,2,13499,
thalerstandard.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
theoutdoorsfinancil.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tipmexico.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tiveg.com,1,4,31132,
tmf-group.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tmxfinanciera.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tolfin.com.mx,1,5,50307,
tonalliprestamos.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
torrubia.mx,1,1,14576,
total-money.com.mx,1,3,9797,
totalfin.mx,1,5,18424,
totemprestamos.mx,1,4,46175,
tpfmexico.mx,1,1,4489,
tprestamos.com.mx,1,5,18429,
tranquilidadasertiva.mx,1,1,13090,
translift.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
trasierra.com.mx,1,6,41931,
tratonfs.com.mx,1,4,30278,
treo.mx,1,1,10982,
tribuscapital.com.mx,1,1,4141,
trinitas.mx,1,5,61165,
tropress.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
truelend.mx,1,1,1853,
tryjeeves.com,1,5,5646892,
tsedi.com.mx,1,4,9023,
tsobra.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tuabonoencuenta.com,1,5,43266,
tucafi.com,1,1,5796,
tuiio.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tuvaquitafinanciera.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
tuvilar.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ubestructure.com,1,2,11220,
uccosertur.com.mx,1,4,12261,
ufimas.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
